,Position,Track Name,Artist,Streams,date,region,id,date_from,date_to,valence
7655,56,等你下課,Jay Chou,28862,2019-06-14--2019-06-21,hk,76WthWB0v0KXUHZoAclMVV,2019-06-14,2019-06-21,0.416
7656,57,命硬,Justin Lo,28850,2019-06-14--2019-06-21,hk,47RgWWTJno746wCInL4gQz,2019-06-14,2019-06-21,0.333
7657,58,後來的我們,Mayday,28777,2019-06-14--2019-06-21,hk,13AruKdh8wJhWx6i5dV8X1,2019-06-14,2019-06-21,0.225
7658,59,Do You Hear The People Sing?,Aaron Tveit,28165,2019-06-14--2019-06-21,hk,03m03OVQGPuzt8Rw2r0a7t,2019-06-14,2019-06-21,0.543
7659,60,囍帖街,Kay Tse,28102,2019-06-14--2019-06-21,hk,3hU9nGBhYJQwvF8BJ4PUcE,2019-06-14,2019-06-21,0.428
7660,61,So Am I,Ava Max,27928,2019-06-14--2019-06-21,hk,0uUNN1nSoUx1A4fkDCWDQ7,2019-06-14,2019-06-21,0.607
7661,62,Dancing With A Stranger (with Normani),Sam Smith,27493,2019-06-14--2019-06-21,hk,6Qs4SXO9dwPj5GKvVOv8Ki,2019-06-14,2019-06-21,0.347
7662,63,Happier,Marshmello,27367,2019-06-14--2019-06-21,hk,2dpaYNEQHiRxtZbfNsse99,2019-06-14,2019-06-21,0.671
7663,64,Here With Me,Marshmello,27307,2019-06-14--2019-06-21,hk,5icOoE6VgqFKohjWWNp0Ac,2019-06-14,2019-06-21,0.181
7664,65,Mad Love,Mabel,27081,2019-06-14--2019-06-21,hk,79JBjIq90BrQ8Ws0pUhlzD,2019-06-14,2019-06-21,0.62
7665,66,Closer,The Chainsmokers,27026,2019-06-14--2019-06-21,hk,7BKLCZ1jbUBVqRi2FVlTVw,2019-06-14,2019-06-21,0.661
7666,67,2002,Anne-Marie,27019,2019-06-14--2019-06-21,hk,2BgEsaKNfHUdlh97KmvFyo,2019-06-14,2019-06-21,0.603
7667,68,Don't Know What To Do,BLACKPINK,26940,2019-06-14--2019-06-21,hk,1TaQciB8qqRZ9fxWGhS65X,2019-06-14,2019-06-21,0.409
7668,69,Nightmare,Halsey,26835,2019-06-14--2019-06-21,hk,340UVheS8z3ncW9TTUhAbc,2019-06-14,2019-06-21,0.538
7669,70,你瞞我瞞,Jason Chan,26818,2019-06-14--2019-06-21,hk,1eId3TVzGrwv73YAWAVQMX,2019-06-14,2019-06-21,0.403
7670,71,Faded,Alan Walker,26387,2019-06-14--2019-06-21,hk,698ItKASDavgwZ3WjaWjtz,2019-06-14,2019-06-21,0.159
7671,72,假使世界原來不像你預期,Charmaine Fong,26374,2019-06-14--2019-06-21,hk,53HxUdYRCRMdzYPG0qhGUP,2019-06-14,2019-06-21,0.347
7672,73,Tonight,AGA,26372,2019-06-14--2019-06-21,hk,4UOaRXM0YgOpWsE1fsWb9u,2019-06-14,2019-06-21,0.421
7673,74,海闊天空,Beyond,26304,2019-06-14--2019-06-21,hk,77uktQePd9IdeMPVWlu1cO,2019-06-14,2019-06-21,0.369
7674,75,Friend Like Me,Will Smith,25946,2019-06-14--2019-06-21,hk,5f2TWu6R2YYCJtLQ0fP78H,2019-06-14,2019-06-21,0.665
7675,76,亂世情侶 (合唱版),Leo Ku,25916,2019-06-14--2019-06-21,hk,2hRY6ORT8dEdVVCocenQjs,2019-06-14,2019-06-21,0.213
7676,77,Without Me,Halsey,25869,2019-06-14--2019-06-21,hk,5p7ujcrUXASCNwRaWNHR1C,2019-06-14,2019-06-21,0.533
7677,78,wish you were gay,Billie Eilish,25829,2019-06-14--2019-06-21,hk,3Fj47GNK2kUF0uaEDgXLaD,2019-06-14,2019-06-21,0.282
7678,79,來自天堂的魔鬼,G.E.M.,25771,2019-06-14--2019-06-21,hk,0g2XnkKghVN22yze1gTJzl,2019-06-14,2019-06-21,0.302
7679,80,i'm so tired...,Lauv,25760,2019-06-14--2019-06-21,hk,7COXchtUOMd6uIT6HvmRaI,2019-06-14,2019-06-21,0.534
7680,81,無盡,Supper Moment,25752,2019-06-14--2019-06-21,hk,6TNz79kvUVVQSM2EhZQVq8,2019-06-14,2019-06-21,0.526
7681,82,羅生門,Juno Mak,25603,2019-06-14--2019-06-21,hk,7xAVLrbnud6OrU6f4FmxDr,2019-06-14,2019-06-21,0.253
7682,83,Girls Like You (feat. Cardi B),Maroon 5,25270,2019-06-14--2019-06-21,hk,7fa9MBXhVfQ8P8Df9OEbD8,2019-06-14,2019-06-21,0.448
7683,84,13樓的大笨象,Stephanie Cheng,25213,2019-06-14--2019-06-21,hk,1Cn2n7LpjpiElg6IyKB9id,2019-06-14,2019-06-21,0.482
7684,85,心之科學,Joey Yung,25130,2019-06-14--2019-06-21,hk,1gVMd7oYGo6Whlgg7pAa7M,2019-06-14,2019-06-21,0.252
7685,86,Havana (feat. Young Thug),Camila Cabello,25117,2019-06-14--2019-06-21,hk,1rfofaqEpACxVEHIZBJe6W,2019-06-14,2019-06-21,0.394
7686,87,可惜我是水瓶座,Miriam Yeung,25041,2019-06-14--2019-06-21,hk,1sWUT5hSawhEctQEQrVQdn,2019-06-14,2019-06-21,0.543
7687,88,未來見,RubberBand,24954,2019-06-14--2019-06-21,hk,5OPqZ5dEqrdPGatJgnZ8xG,2019-06-14,2019-06-21,0.136
7688,89,Photograph,Ed Sheeran,24768,2019-06-14--2019-06-21,hk,6fxVffaTuwjgEk5h9QyRjy,2019-06-14,2019-06-21,0.201
7689,90,We Don't Talk Anymore,Charlie Puth,24588,2019-06-14--2019-06-21,hk,68EMU2RD1ECNeOeJ5qAXCV,2019-06-14,2019-06-21,0.352
7690,91,bury a friend,Billie Eilish,24520,2019-06-14--2019-06-21,hk,4SSnFejRGlZikf02HLewEF,2019-06-14,2019-06-21,0.196
7691,92,Always Remember Us This Way,Lady Gaga,24514,2019-06-14--2019-06-21,hk,2rbDhOo9Fh61Bbu23T2qCk,2019-06-14,2019-06-21,0.296
7692,93,"你,好不好? - Ending Theme Song of TVBS Series ""Life List""",Eric Chou,24305,2019-06-14--2019-06-21,hk,2gug6MRv4xQFYi9LA3PJCS,2019-06-14,2019-06-21,0.535
7693,94,歲月如歌,Eason Chan,24011,2019-06-14--2019-06-21,hk,209lkexhDOdjGJMv9iw3rJ,2019-06-14,2019-06-21,0.453
7694,95,when the party's over,Billie Eilish,23811,2019-06-14--2019-06-21,hk,43zdsphuZLzwA9k4DJhU0I,2019-06-14,2019-06-21,0.198
7695,96,心淡,Joey Yung,23665,2019-06-14--2019-06-21,hk,0Eum5dQqpUDgwJiUucG3QU,2019-06-14,2019-06-21,0.375
7696,97,This Feeling,The Chainsmokers,23328,2019-06-14--2019-06-21,hk,4NBTZtAt1F13VvlSKe6KTl,2019-06-14,2019-06-21,0.449
7697,98,龍舌蘭,Eason Chan,23183,2019-06-14--2019-06-21,hk,2yJuzhRAp75De9QFcR0qXl,2019-06-14,2019-06-21,0.215
7698,99,Focus (feat. 21 Savage),Bazzi,23051,2019-06-14--2019-06-21,hk,12iDo4Kdw9vA2X1lN3UTVu,2019-06-14,2019-06-21,0.538
7699,100,when the party's over - Recorded at Spotify Studios NYC,Lewis Capaldi,22854,2019-06-14--2019-06-21,hk,6H7fWtwEUHVfTyZD7zeG4w,2019-06-14,2019-06-21,0.258
7700,101,突然好想你,Mayday,22833,2019-06-14--2019-06-21,hk,0IAgufC1FlOg1nZMmRZxRr,2019-06-14,2019-06-21,0.409
7701,102,必殺技 - Live,Leo Ku,22820,2019-06-14--2019-06-21,hk,7oPrKydZ1xLIFXzjHLUGE5,2019-06-14,2019-06-21,0.399
7702,103,Truth Hurts,Lizzo,22777,2019-06-14--2019-06-21,hk,5qmq61DAAOUaW8AUo8xKhh,2019-06-14,2019-06-21,0.412
7703,104,永遠飛行模式,Dear Jane,22645,2019-06-14--2019-06-21,hk,62Fq89muy8ASOH0IQJvb3T,2019-06-14,2019-06-21,0.342
7704,105,別𠱁我,JC 陳泳彤,22574,2019-06-14--2019-06-21,hk,6VeoA1vxx9dueepuakIbMr,2019-06-14,2019-06-21,0.417
7705,106,時光機,Terence Siufay,22573,2019-06-14--2019-06-21,hk,53lFtfrl5Of2Hkr5eiNscQ,2019-06-14,2019-06-21,0.392
7706,107,Blank Space,Taylor Swift,22486,2019-06-14--2019-06-21,hk,1u8c2t2Cy7UBoG4ArRcF5g,2019-06-14,2019-06-21,0.546
7707,108,Fairy tale,Yoga Lin,22450,2019-06-14--2019-06-21,hk,5EXpL9orGpIsscSyBgPdSx,2019-06-14,2019-06-21,0.22
7708,109,DDU-DU DDU-DU,BLACKPINK,22393,2019-06-14--2019-06-21,hk,2aI2k39nfa3KFsa4JclQzw,2019-06-14,2019-06-21,0.389
7709,110,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,22338,2019-06-14--2019-06-21,hk,5JEx7HbmvHQQswJCsoo9rA,2019-06-14,2019-06-21,0.492
7710,111,光年之外 (電影 《Passengers》 中國區主題曲),G.E.M.,22234,2019-06-14--2019-06-21,hk,1bkvGbgK4HU8B7Ue4k7O7I,2019-06-14,2019-06-21,0.238
7711,112,Arabian Nights (2019),Will Smith,22222,2019-06-14--2019-06-21,hk,6ZxPYutGhjLTrcmvcshCa4,2019-06-14,2019-06-21,0.465
7712,113,Ritual,Tiësto,22222,2019-06-14--2019-06-21,hk,3M9Apu4OZfylLTFKvgEtKa,2019-06-14,2019-06-21,0.767
7713,114,你是你本身的傳奇,Charmaine Fong,22056,2019-06-14--2019-06-21,hk,5uMkdWf1H6JEcpcdnPOSZM,2019-06-14,2019-06-21,0.427
7714,115,可惜沒如果,JJ Lin,22055,2019-06-14--2019-06-21,hk,6WoQzK5Exbfcmow1AoNRkl,2019-06-14,2019-06-21,0.286
7715,116,漸漸,Eason Chan,21951,2019-06-14--2019-06-21,hk,1o5PE9VNUd8EJtcYLA3QxP,2019-06-14,2019-06-21,0.29
7716,117,Eastside (with Halsey & Khalid),benny blanco,21851,2019-06-14--2019-06-21,hk,7FGq80cy8juXBCD2nrqdWU,2019-06-14,2019-06-21,0.329
7717,118,Say You Won't Let Go,James Arthur,21819,2019-06-14--2019-06-21,hk,5uCax9HTNlzGybIStD3vDh,2019-06-14,2019-06-21,0.494
7718,119,Sad Song (feat. TINI),Alesso,21698,2019-06-14--2019-06-21,hk,2JoIjuzRplpYGvvLpSW2on,2019-06-14,2019-06-21,0.55
7719,120,Kong,Justin Lo,21481,2019-06-14--2019-06-21,hk,5hQwJOWx41wiWH305GT7pf,2019-06-14,2019-06-21,0.341
7720,121,"Go Loko (feat. Tyga, Jon Z)",YG,21375,2019-06-14--2019-06-21,hk,1kK6DwzyXJSp58u5HYWwuD,2019-06-14,2019-06-21,0.131
7721,122,明年今日,Eason Chan,21297,2019-06-14--2019-06-21,hk,4UD5xrQI4nKftCje1y5Te9,2019-06-14,2019-06-21,0.214
7722,123,戀無可戀,Leo Ku,21231,2019-06-14--2019-06-21,hk,4zVevFBE0Ub4WaUS91f9g1,2019-06-14,2019-06-21,0.367
7723,124,那些你很冒險的夢,JJ Lin,21186,2019-06-14--2019-06-21,hk,5kZDxLcbqglZ2yYXg4Mkjc,2019-06-14,2019-06-21,0.28
7724,125,體面(電影《前任3:再見前任》插曲),Kelly Yu,21181,2019-06-14--2019-06-21,hk,7cE5ehlKJ3L9Ejhzm3udcF,2019-06-14,2019-06-21,0.205
7725,126,Loco Contigo (with J. Balvin & Tyga),DJ Snake,20964,2019-06-14--2019-06-21,hk,1f38Gx6xQz6r4H1jGVNBJo,2019-06-14,2019-06-21,0.355
7726,127,Let Me Down Slowly,Alec Benjamin,20924,2019-06-14--2019-06-21,hk,2qxmye6gAegTMjLKEBoR3d,2019-06-14,2019-06-21,0.483
7727,128,Treat You Better,Shawn Mendes,20898,2019-06-14--2019-06-21,hk,3QGsuHI8jO1Rx4JWLUh9jd,2019-06-14,2019-06-21,0.747
7728,129,Darkside,Alan Walker,20833,2019-06-14--2019-06-21,hk,6SRWhUJcD2YKahCwHavz3X,2019-06-14,2019-06-21,0.123
7729,130,不為誰而作的歌,JJ Lin,20794,2019-06-14--2019-06-21,hk,0VqSdtXseb9khdZrnYVyM1,2019-06-14,2019-06-21,0.252
7730,131,大哥,Janice Vidal,20744,2019-06-14--2019-06-21,hk,2fzOOTi4YDXENpUCr1fiaW,2019-06-14,2019-06-21,0.392
